ProviderNumber,HospitalName,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Stateavg
230054,MARQUETTE GENERAL HOSPITAL,MARQUETTE,MI,49855.0,MARQUETTE,9062289440.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,MI_AMI-1
170006,MT CARMEL REGIONAL MEDICAL CENTER,PITTSBURG,KS,66762.0,CRAWFORD,6202316100.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,KS_SCIP-INF-1
150172,PHYSICIANS' MEDICAL CENTER LLC,NEW ALBANY,IN,47150.0,FLOYD,8122067660.0,Acute Care Hospitals,Proprietary,No,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,IN_AMI-4
140286,KISHWAUKEE COMMUNITY HOSPITAL,DEKALB,IL,60115.0,DEKALB,8157561521.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,IL_HF-4
50424,SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,92037.0,SAN DIEGO,8585543600.0,Acute Care Hospitals,Voluntary non-profit - Other,No,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,CA_AMI-7A
140213,SILVER CROSS HOSPITAL,JOLIET,IL,60432.0,WILL,8157401100.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,IL_AMI-8A
231333,GRAND VIEW HOSPITAL,IRONWOOD,MI,49938.0,GOGEBIC,9069322525.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),MI_SCIP-INF-3
260191,BARNES-JEWISH ST PETERS HOSPITAL,SAINT PETERS,MO,63376.0,SAINT CHARLES,6369169000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,MO_AMI-4
180141,UNIVERSITY OF LOUISVILLE HOSPITAL,LOUISVILLE,KY,40202.0,JEFFERSON,5025623000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,KY_AMI-8A
260015,TWIN RIVERS REGIONAL MEDICAL CENTER,KENNETT,MO,63857.0,DUNKLIN,5738884522.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,MO_HF-1
50129,ST BERNARDINE MEDICAL CENTER,SAN BERNARDINO,CA,92404.0,SAN BERNARDINO,9098814440.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,CA_AMI-2
50517,VICTOR VALLEY COMMUNITY HOSPITAL,VICTORVILLE,CA,92392.0,SAN BERNARDINO,7602458691.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,CA_AMI-7A
50349,CORCORAN DISTRICT HOSPITAL,CORCORAN,CA,93212.0,KINGS,5599925051.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),CA_AMI-3
30078,PHOENIX INDIAN MEDICAL CENTER,PHOENIX,AZ,85016.0,MARICOPA,6022631200.0,Acute Care Hospitals,Government - Federal,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AZ_AMI-4
111327,BACON COUNTY HOSPITAL,ALMA,GA,31510.0,BACON,9126328961.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,GA_SCIP-CARD-2
50704,MISSION COMMUNITY HOSPITAL - PANORAMA,PANORAMA CITY,CA,91402.0,LOS ANGELES,8187872222.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,KS_PN-3B
171304,ASHLAND HEALTH CENTER,ASHLAND,KS,67831.0,CLARK,6206352241.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,KS_PN-2
220024,HOLYOKE MEDICAL CENTER,HOLYOKE,MA,1040.0,HAMPDEN,4135342500.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,MA_PN-7
191323,RICHLAND PARISH HOSPITAL-DELHI,DELHI,LA,71232.0,RICHLAND,3188785171.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,LA_AMI-4
241368,ST MICHAELS HOSPITAL & NURSING HOME,SAUK CENTRE,MN,56378.0,STEARNS,3203522221.0,Critical Access Hospitals,Proprietary,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,MN_HF-4
271322,SHERIDAN MEMORIAL HOSPTIAL,PLENTYWOOD,MT,59254.0,SHERIDAN,4067653700.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),MT_SCIP-INF-6
190201,WOMEN AND CHILDREN'S HOSPITAL AT LAKE CHARLES,LAKE CHARLES,LA,70605.0,CALCASIEU,3374746370.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,LA_AMI-2
160101,BROADLAWNS MEDICAL CENTER,DES MOINES,IA,50314.0,POLK,5152822200.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),rqhpqqx
231311,DECKERVILLE COMMUNITY HOSPITAL,DECKERVILLE,MI,48427.0,SANILAC,8103762835.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),MI_SCIP-INF-6
150069,KING'S DAUGHTERS' HOSPITAL AND HEALTH SERVICES;THE,CONCORD,IN,47250.0,JEFFERSON,8122655211.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,IN_AMI-1
100223,FORT WALTON BEACH MEDICAL CENTER,FT WALTON BEACH,FL,32547.0,OKALOOSA,8508621111.0,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,FL_PN-4
50047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,SAN FRANCISCO,CA,94115.0,SAN FRANCISCO,4156006000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,CA_PN-3B
23037F,DETROIT (JOHN D. DINGELL) VA MEDICAL CENTER,DETROIT,MI,48201.0,WAYNE,3135761000.0,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,MI_AMI-8A
280130,ALEGENT HEALTH LAKESIDE HOSPITAL,OMAHA,AK,68130.0,DOUGLAS,4027178000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,NE_AMI-7A
50056,ANTELOPE VALLEY HOSPITAL MED CENTER,LANCASTER,LA,93534.0,LOS ANGELES,6619495501.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,CA_PN-3B
190167,VILLE PLATTE MEDICAL CENTER,VILLE PLATTE,LA,70586.0,EVANGELINE,3373635684.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,LA_AMI-8A
241320,RIVERVIEW HOSPITAL,CROOKSTON,MN,56716.0,POLK,2182819200.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,MN_HF-2
240064,GRAND ITASCA CLINIC AND HOSPITAL,GRAND RAPIDS,MN,55744.0,ITASCA,2183263401.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,MN_SCIP-VTE-2
140114,SWEDISH COVENANT HOSPITAL,CHICAGO,MN,60625.0,COOK,7738788200.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),IL_PN-6
05027F,VA LONG BEACH HEALTHCARE SYSTEM,LONG BEACH,CA,90822.0,LOS ANGELES,5628268000.0,Acute Care - VA Medical Center,Government Federal,No,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,CA_HF-4
150173,CLARIAN-ARNETT HEALTH SYSTEM INC,LAFAYETTE,IN,47905.0,TIPPECANOE,7654488000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,IN_HF-1
170075,MERCY HOSPITAL,MOUNDRIDGE,KS,67107.0,MCPHERSON,6203456391.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,KS_SCIP-VTE-2
150046,TERRE HAUTE REGIONAL HOSPITAL,TERRE HAUTE,IN,47802.0,VIGO,8122320021.0,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,IN_PN-4
251318,NORTH SUNFLOWER MEDICAL CENTER CAH,RULEVILLE,MS,38771.0,SUNFLOWER,6627562711.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,MS_AMI-5
41309,LAWRENCE MEMORIAL HOSPITAL,WALNUT RIDGE,AR,72476.0,LAWRENCE,8708861200.0,Critical Access Hospitals,Government - Local,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AR_AMI-3
140233,SAINT ANTHONY MEDICAL CENTER,ROCKFORD,IL,61108.0,WINNEBAGO,8152262000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,IL_SCIP-INF-2
220177,NANTUCKET COTTAGE HOSPITAL,NANTUCKET,MA,2554.0,NANTUCKET,5082281200.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,KS_SCIP-CARD-2
10050,ST VINCENTS BLOUNT,ONEONTA,AL,35121.0,BLOUNT,2052743000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4
140095,SAINT ANTHONY HOSPITAL,CHICAGO,IL,60623.0,COOK,7735211710.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,IL_AMI-5
260061,NEVADA REGIONAL MEDICAL CENTER,NEVADA,MO,64772.0,VERNON,4176673355.0,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,MO_AMI-5
50334,SALINAS VALLEY MEMORIAL HOSPITAL,SALINAS,CA,93901.0,MONTEREY,8317574333.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,CA_SCIP-VTE-1
50751,MIRACLE MILE MEDICAL CENTER,LOS ANGELES,CA,90036.0,LOS ANGELES,3239301040.0,Acute Care Hospitals,Proprietary,No,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,CA_PN-3B
41305,MERCY HOSPITAL SCOTT COUNTY,WALDRON,AR,72958.0,SCOTT,4796374135.0,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AR_AMI-8A
190118,DESOTO REGIONAL HEALTH SYSTEM,MANSFIELD,LA,71052.0,DE SOTO,3188713101.0,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,LA_SCIP-INF-1
141350,ST FRANCIS HOSPITAL,LITCHFIELD,IL,62056.0,MONTGOMERY,2173242191.0,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,IL_SCIP-INF-4
60010,POUDRE VALLEY HOSPITAL,FORT COLLINS,CO,80524.0,LARIMER,9704957000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),CO_AMI-3
50173,ANAHEIM GENERAL HOSPITAL,ANAHEIM,CA,92804.0,ORANGE,7142204533.0,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,CA_SCIP-VTE-2
31309,SAGE MEMORIAL HOSPITAL,GANADO,AZ,86505.0,APACHE,9287554500.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AZ_AMI-8A
161329,JACKSON COUNTY REGIONAL HEALTH CENTER,MAQUOKETA,IA,52060.0,JACKSON,5636522474.0,Critical Access Hospitals,Proprietary,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,IA_HF-1
140251,OUR LADY OF THE RESURRECTION MED CTR,CHICAGO,IL,60634.0,COOK,7732827000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,IL_HF-1
231316,HILLS & DALES GENERAL HOSPITAL,CASS CITY,MI,48726.0,TUSCOLA,9898722121.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,MI_HF-2
50353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,TORRANCE,CA,90503.0,LOS ANGELES,3105407676.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,CA_PN-7
241376,GLACIAL RIDGE HOSPITAL,GLENWOOD,MN,56334.0,POPE,3206342208.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),MN_HF-3
220171,LAHEY CLINIC HOSPITAL,BURLINGTON,MA,1803.0,MIDDLESEX,7817445100.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),MA_SCIP-INF-3
110069,HOUSTON MEDICAL CENTER,WARNER ROBINS,GA,31093.0,HOUSTON,4789224281.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),GA_HF-3
140135,DECATUR MEMORIAL HOSPITAL,DECATUR,IL,62526.0,MACON,2178778121.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,IL_HF-1
50089,COMMUNITY HOSPITAL OF SAN BERNARDINO,SAN BERNARDINO,CA,92411.0,SAN BERNARDINO,9098876333.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),CA_AMI-3
170068,SOUTHWEST MEDICAL CENTER,LIBERAL,KS,67901.0,SEWARD,6206296291.0,Acute Care Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),KS_SCIP-INF-3
240210,HEALTHEAST ST JOHN'S HOSPITAL,MAPLEWOOD,MN,55109.0,RAMSEY,6512327000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,MN_PN-2
100124,SANTA ROSA MEDICAL CENTER,MILTON,FL,32570.0,SANTA ROSA,8506267762.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,FL_AMI-4
200063,PENOBSCOT BAY MEDICAL CENTER,ROCKPORT,ME,4856.0,KNOX,2075968000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),ME_PN-6
230093,MECOSTA COUNTY MEDICAL CENTER,BIG RAPIDS,MI,49307.0,MECOSTA,2317968691.0,Acute Care Hospitals,Government - Local,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,MI_HF-1
50257,GOOD SAMARITAN HOSPITAL,BAKERSFIELD,CA,93308.0,KERN,6613994461.0,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,CA_SCIP-INF-1
30007,VERDE VALLEY MEDICAL CENTER,COTTONWOOD,AZ,86326.0,YAVAPAI,9286396000.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AZ_HF-3
100230,MEMORIAL HOSPITAL PEMBROKE,PEMBROKE PINES,FL,33024.0,BROWARD,9549629650.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,FL_PN-4
90006,PROVIDENCE HOSPITAL,WASHINGTON,DC,20017.0,DISTRICT OF COLUMBIA,2022697000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,DC_SCIP-INF-1
240059,REGINA MEDICAL CENTER,HASTINGS,MN,55033.0,DAKOTA,6514804100.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,MN_AMI-1
230095,WEST BRANCH REGIONAL MEDICAL CENTER,WEST BRANCH,MI,48661.0,OGEMAW,9893456366.0,Acute Care Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,MI_SCIP-VTE-1
110095,TIFT REGIONAL MEDICAL CENTER,TIFTON,GA,31793.0,TIFT,2293827120.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Children&#8217;s Asthma Care,CAC-2,Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma,GA_CAC-2
50281,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA,CA,91801.0,LOS ANGELES,6265701606.0,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,CA_AMI-5
190125,ST FRANCIS MEDICAL CENTER,MONROE,LA,71201.0,OUACHITA,3189664141.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Children&#8217;s Asthma Care,CAC-3,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma,LA_CAC-3
25043F,G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (,JACKSON,MS,39216.0,HINDS,6013624471.0,Acute Care - VA Medical Center,Government Federal,No,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,MS_SCIP-CARD-2
271332,GLENDIVE MEDICAL CENTER,GLENDIVE,MT,59330.0,DAWSON,4063453306.0,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,MT_SCIP-CARD-2
190013,WEST CALCASIEU CAMERON HOSPITAL,SULPHUR,LA,70663.0,CALCASIEU,3375274240.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,LA_SCIP-VTE-1
190164,BYRD REGIONAL HOSPITAL,LEESVILLE,LA,71446.0,VERNON,3372395113.0,Acute Care Hospitals,Proprietary,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,LA_PN-7
110030,CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,30120.0,BARTOW,7703878182.0,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),GA_SCIP-INF-6
100122,NORTH OKALOOSA MEDICAL CENTER,CRESTVIEW,FL,32539.0,OKALOOSA,8506898100.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,FL_AMI-5
100234,COLUMBIA HOSPITAL,WEST PALM BEACH,FL,33407.0,PALM BEACH,5618446141.0,Critical Access Hospitals,Proprietary,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,FL_AMI-8A
151323,PARKVIEW LAGRANGE HOSPITAL,LAGRANGE,IN,46761.0,LAGRANGE,2604639000.0,Critical Access Hospitals,Government - Federal,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,IN_AMI-1
220098,NASHOBA VALLEY MEDICAL CENTER,AYER,MA,1432.0,MIDDLESEX,9787849000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,MA_AMI-7A
50688,SAINT LOUISE REGIONAL HOSPITAL,GILROY,CA,95020.0,SANTA CLARA,4088482000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,CA_HF-2
140233,SAINT ANTHONY MEDICAL CENTER,ROCKFORD,IL,61108.0,WINNEBAGO,8152262000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,sjslfyrhbtkes
190245,MONROE SURGICAL HOSPITAL,MONROE,LA,71201.0,OUACHITA,3184100002.0,Acute Care Hospitals,Proprietary,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,LA_SCIP-VTE-2
110001,HAMILTON MEDICAL CENTER,DALTON,GA,30720.0,WHITFIELD,7062726105.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,GA_SCIP-INF-2
30107,ARIZONA SPINE AND JOINT HOSPITAL,MESA,AZ,85206.0,MARICOPA,4808324770.0,Acute Care Hospitals,Proprietary,No,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AZ_AMI-2
50517,VICTOR VALLEY COMMUNITY HOSPITAL,VICTORVILLE,CA,92392.0,SAN BERNARDINO,7602458691.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,CA_PN-2
170074,GEARY COMMUNITY HOSPITAL,JUNCTION CITY,ts,66441.0,GEARY,9132384131.0,Acute Care Hospitals,Government - Local,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,KS_AMI-7A
140064,ST MARY MEDICAL CENTER,GALESBURG,IL,61401.0,KNOX,3093443161.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,IL_HF-1
100040,ST VINCENT'S MEDICAL CENTER,JACKSONVILLE,FL,32204.0,DUVAL,9043087300.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,FL_PN-5C
110006,ST MARY'S HOSPITAL,ATHENS,GA,30606.0,CLARKE,7063893930.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),GA_SCIP-INF-3
230264,SOUTHEAST MICHIGAN SURGICAL HOSPITAL,WARREN,MI,48091.0,MACOMB,5864271000.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),MI_AMI-3
240211,LAKESIDE MEDICAL CENTER,PINE CITY,MN,55063.0,PINE,3206292542.0,Acute Care Hospitals,Government - Federal,No,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,MN_SCIP-INF-2
161318,VETERANS MEMORIAL HOSPITAL,WAUKON,IA,52172.0,ALLAMAKEE,5635683411.0,Critical Access Hospitals,Government - Local,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,IA_SCIP-INF-4
