City,ZipCode,State,PhoneNumber,MeasureCode,MeasureName,Stateavg,ProviderNumber,HospitalName,Condition
THOMASVILLE,36784,AL,3346366221,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Heart Failure
THOMASVILLE,36784,AL,3346366221,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Heart Failure
THOMASVILLE,36784,AL,3346366221,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Pneumonia
THOMASVILLE,36784,AL,3346366221,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Pneumonia
THOMASVILLE,36784,AL,3346366221,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Pneumonia
THOMASVILLE,36784,AL,3346366221,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Pneumonia
THOMASVILLE,36784,AL,3346366221,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Pneumonia
THOMASVILLE,36784,AL,3346366221,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Pneumonia
THOMASVILLE,36784,AL,3346366221,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
THOMASVILLE,36784,AL,3346366221,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
THOMASVILLE,36784,AL,3346366221,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
THOMASVILLE,36784,AL,3346366221,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
THOMASVILLE,36784,AL,3346366221,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
THOMASVILLE,36784,AL,3346366221,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
THOMASVILLE,36784,AL,3346366221,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
THOMASVILLE,36784,AL,3346366221,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10015,SOUTHWEST ALABAMA MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Attack
ALABASTER,35007,AL,2056208100,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Attack
ALABASTER,35007,AL,2056208100,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Attack
ALABASTER,35007,AL,2056208100,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Attack
ALABASTER,35007,AL,2056208100,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Attack
ALABASTER,35007,AL,2056208100,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Attack
ALABASTER,35007,AL,2056208100,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Attack
ALABASTER,35007,AL,2056208100,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Failure
ALABASTER,35007,AL,2056208100,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Failure
ALABASTER,35007,AL,2056208100,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Failure
ALABASTER,35007,AL,2056208100,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10016,SHELBY BAPTIST MEDICAL CENTER,Heart Failure
ALABASTER,35007,AL,2056208100,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10016,SHELBY BAPTIST MEDICAL CENTER,Pneumonia
ALABASTER,35007,AL,2056208100,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10016,SHELBY BAPTIST MEDICAL CENTER,Pneumonia
ALABASTER,35007,AL,2056208100,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10016,SHELBY BAPTIST MEDICAL CENTER,Pneumonia
ALABASTER,35007,AL,2056208100,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10016,SHELBY BAPTIST MEDICAL CENTER,Pneumonia
ALABASTER,35007,AL,2056208100,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10016,SHELBY BAPTIST MEDICAL CENTER,Pneumonia
ALABASTER,35007,AL,2056208100,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10016,SHELBY BAPTIST MEDICAL CENTER,Pneumonia
ALABASTER,35007,AL,2056208100,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
ALABASTER,35007,AL,2056208100,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10016,SHELBY BAPTIST MEDICAL CENTER,Surgical Infection Prevention
BIRMINGHAM,35233,AL,2053258100,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Attack
BIRMINGHAM,35233,AL,2053258100,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Attack
BIRMINGHAM,35233,AL,2053258100,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Attack
BIRMINGHAM,35233,AL,2053258100,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Attack
BIRMINGHAM,35233,AL,2053258100,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Attack
BIRMINGHAM,35233,AL,2053258100,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Attack
BIRMINGHAM,35233,AL,2053258100,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Attack
BIRMINGHAM,35233,AL,2053258100,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Failure
BIRMINGHAM,35233,AL,2053258100,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Failure
BIRMINGHAM,35233,AL,2053258100,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Failure
BIRMINGHAM,35233,AL,2053258100,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Heart Failure
BIRMINGHAM,35233,AL,2053258100,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Pneumonia
BIRMINGHAM,35233,AL,2053258100,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Pneumonia
BIRMINGHAM,35233,AL,2053258100,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Pneumonia
BIRMINGHAM,35233,AL,2053258100,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Pneumonia
BIRMINGHAM,35233,AL,2053258100,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Pneumonia
BIRMINGHAM,35233,AL,2053258100,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10018,CALLAHAN EYE FOUNDATION HOSPITAL,Pneumonia
ANNISTON,36201,AL,2562358900,CAC-2,Children Who Received Systemic Corticosteroid Medication (oral and IV Medication That Reduces Inflammation and Controls Symptoms) While Hospitalized for Asthma,AL_CAC-2,10038,STRINGFELLOW MEMORIAL HOSPITAL,Children&#8217;s Asthma Care
ANNISTON,36201,AL,2562358900,CAC-3,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma,AL_CAC-3,10038,STRINGFELLOW MEMORIAL HOSPITAL,Children&#8217;s Asthma Care
ANNISTON,36201,AL,2562358900,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Attack
ANNISTON,36201,AL,2562358900,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Attack
ANNISTON,36201,AL,2562358900,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Attack
ANNISTON,36201,AL,2562358900,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Attack
ANNISTON,36201,AL,2562358900,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Attack
ANNISTON,36201,AL,2562358900,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Attack
ANNISTON,36201,AL,2562358900,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Attack
ANNISTON,36201,AL,2562358900,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Failure
ANNISTON,36201,AL,2562358900,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Failure
ANNISTON,36201,AL,2562358900,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Failure
ANNISTON,36201,AL,2562358900,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10038,STRINGFELLOW MEMORIAL HOSPITAL,Heart Failure
ANNISTON,36201,AL,2562358900,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10038,STRINGFELLOW MEMORIAL HOSPITAL,Pneumonia
ANNISTON,36201,AL,2562358900,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10038,STRINGFELLOW MEMORIAL HOSPITAL,Pneumonia
ANNISTON,36201,AL,2562358900,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10038,STRINGFELLOW MEMORIAL HOSPITAL,Pneumonia
ANNISTON,36201,AL,2562358900,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10038,STRINGFELLOW MEMORIAL HOSPITAL,Pneumonia
ANNISTON,36201,AL,2562358900,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10038,STRINGFELLOW MEMORIAL HOSPITAL,Pneumonia
ANNISTON,36201,AL,2562358900,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10038,STRINGFELLOW MEMORIAL HOSPITAL,Pneumonia
ANNISTON,36201,AL,2562358900,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10038,STRINGFELLOW MEMORIAL HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10055,FLOWERS HOSPITAL,Heart Failure
DOTHAN,36305,AL,3347935000,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10055,FLOWERS HOSPITAL,Heart Failure
DOTHAN,36305,AL,3347935000,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10055,FLOWERS HOSPITAL,Heart Failure
DOTHAN,36305,AL,3347935000,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10055,FLOWERS HOSPITAL,Pneumonia
DOTHAN,36305,AL,3347935000,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10055,FLOWERS HOSPITAL,Pneumonia
DOTHAN,36305,AL,3347935000,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10055,FLOWERS HOSPITAL,Pneumonia
DOTHAN,36305,AL,3347935000,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10055,FLOWERS HOSPITAL,Pneumonia
DOTHAN,36305,AL,3347935000,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10055,FLOWERS HOSPITAL,Pneumonia
DOTHAN,36305,AL,3347935000,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10055,FLOWERS HOSPITAL,Pneumonia
DOTHAN,36305,AL,3347935000,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
DOTHAN,36305,AL,3347935000,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10055,FLOWERS HOSPITAL,Surgical Infection Prevention
BIRMINGHAM,35205,AL,2059397000,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10056,ST VINCENTS HOSPITAL,Heart Attack
BIRMINGHAM,35205,AL,2059397000,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10056,ST VINCENTS HOSPITAL,Heart Attack
BIRMINGHAM,35205,AL,2059397000,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10056,ST VINCENTS HOSPITAL,Heart Attack
BIRMINGHAM,35205,AL,2059397000,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10056,ST VINCENTS HOSPITAL,Heart Attack
BIRMINGHAM,35205,AL,2059397000,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10056,ST VINCENTS HOSPITAL,Heart Attack
DECATUR,35609,AL,2563412000,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10085,DECATUR GENERAL HOSPITAL,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10086,NORTHWEST MEDICAL CENTER,Heart Attack
WINFIELD,35594,AL,2054877736,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10086,NORTHWEST MEDICAL CENTER,Heart Attack
WINFIELD,35594,AL,2054877736,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10086,NORTHWEST MEDICAL CENTER,Heart Attack
WINFIELD,35594,AL,2054877736,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10086,NORTHWEST MEDICAL CENTER,Heart Attack
WINFIELD,35594,AL,2054877736,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10086,NORTHWEST MEDICAL CENTER,Heart Attack
WINFIELD,35594,AL,2054877736,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10086,NORTHWEST MEDICAL CENTER,Heart Attack
WINFIELD,35594,AL,2054877736,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10086,NORTHWEST MEDICAL CENTER,Heart Attack
WINFIELD,35594,AL,2054877736,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10086,NORTHWEST MEDICAL CENTER,Heart Failure
WINFIELD,35594,AL,2054877736,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10086,NORTHWEST MEDICAL CENTER,Heart Failure
WINFIELD,35594,AL,2054877736,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_HF-3,10086,NORTHWEST MEDICAL CENTER,Heart Failure
WINFIELD,35594,AL,2054877736,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,AL_HF-4,10086,NORTHWEST MEDICAL CENTER,Heart Failure
WINFIELD,35594,AL,2054877736,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,AL_PN-2,10086,NORTHWEST MEDICAL CENTER,Pneumonia
WINFIELD,35594,AL,2054877736,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,AL_PN-3B,10086,NORTHWEST MEDICAL CENTER,Pneumonia
WINFIELD,35594,AL,2054877736,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,AL_PN-4,10086,NORTHWEST MEDICAL CENTER,Pneumonia
WINFIELD,35594,AL,2054877736,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,AL_PN-5C,10086,NORTHWEST MEDICAL CENTER,Pneumonia
WINFIELD,35594,AL,2054877736,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),AL_PN-6,10086,NORTHWEST MEDICAL CENTER,Pneumonia
WINFIELD,35594,AL,2054877736,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,AL_PN-7,10086,NORTHWEST MEDICAL CENTER,Pneumonia
WINFIELD,35594,AL,2054877736,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,AL_SCIP-CARD-2,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,AL_SCIP-INF-1,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,AL_SCIP-INF-2,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),AL_SCIP-INF-3,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,AL_SCIP-INF-4,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),AL_SCIP-INF-6,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,AL_SCIP-VTE-1,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
WINFIELD,35594,AL,2054877736,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,AL_SCIP-VTE-2,10086,NORTHWEST MEDICAL CENTER,Surgical Infection Prevention
MOBILE,36617,AL,2514717110,AMI-1,Heart Attack Patients Given Aspirin at Arrival,AL_AMI-1,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Attack
MOBILE,36617,AL,2514717110,AMI-2,Heart Attack Patients Given Aspirin at Discharge,AL_AMI-2,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Attack
MOBILE,36617,AL,2514717110,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),AL_AMI-3,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Attack
MOBILE,36617,AL,2514717110,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,AL_AMI-4,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Attack
MOBILE,36617,AL,2514717110,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,AL_AMI-5,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Attack
MOBILE,36617,AL,2514717110,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,AL_AMI-7A,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Attack
MOBILE,36617,AL,2514717110,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,AL_AMI-8A,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Attack
MOBILE,36617,AL,2514717110,HF-1,Heart Failure Patients Given Discharge Instructions,AL_HF-1,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Failure
MOBILE,36617,AL,2514717110,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,AL_HF-2,10087,UNIV OF SOUTH ALABAMA MEDICAL CENTER,Heart Failure
